date	stargazer
2019-11-12	nathaneastwood
2019-11-15	hlfernandez
2019-11-15	trashbirdecology
2019-11-24	davll
2019-12-04	tranbach
2019-12-04	lopierra
2019-12-05	guanhuac
2019-12-09	jasonratcliff
2019-12-10	fschaffner
2019-12-13	tandoorichicken
2019-12-19	alexkyllo
2019-12-20	Raylc
2019-12-26	cgpu
2019-12-29	systats
2019-12-31	maskegger
2020-01-08	zhangxiubo
2020-01-17	JustGitting
2020-01-19	khughitt
2020-01-20	jeffreypullin
2020-01-22	juanvillada
2020-01-24	urwahnawaz
2020-01-26	IndrajeetPatil
2020-01-26	jethronap
2020-01-26	ratanon97
2020-01-27	fly51fly
2020-01-27	gzliuzhijun
2020-01-27	melonki
2020-01-27	Otomadmt
2020-01-27	alexdai
2020-01-28	fjibj
2020-01-29	PietrH
2020-01-30	brshallo
2020-02-01	ryurko
2020-02-02	ecosang
2020-02-05	amitjavilaventura
2020-02-06	fdbesanto2
2020-02-11	daniloimparato
2020-02-12	lisancao
2020-02-14	Mpaperlee
2020-02-17	vntasis
2020-02-18	nathanlane
2020-02-18	giocomai
2020-02-19	abichat
2020-02-19	ries9112
2020-02-26	Robinlovelace
2020-02-29	jg-bernard
2020-03-06	diogo-almeida
2020-03-07	carstenstann
2020-03-07	mmatkinson
2020-03-12	stevenpawley
2020-03-15	TomBener
2020-03-15	KirillShaman
2020-03-20	rtelmore
2020-03-20	yimmy23
2020-03-24	shouldsee
2020-03-26	malnirav
2020-03-30	adrientaudiere
2020-04-07	neksa
2020-04-17	niheaven
2020-04-21	markheckmann
2020-04-23	coatless
2020-04-23	fmmattioni
2020-04-24	medewitt
2020-04-24	michbur
2020-04-24	ismirsehregal
2020-04-26	ycaedes
2020-04-28	HaoZeke
2020-04-29	anhtr
2020-05-01	nilseling
2020-05-02	badbye
2020-05-07	milanmlft
2020-05-07	knowah
2020-05-15	CStats
2020-05-17	cuixueqin
2020-05-18	alearrigo
2020-05-18	Max2W
2020-05-22	combiz
2020-05-24	kellykermode
2020-05-27	battila7
2020-05-27	ricoperdiz
2020-05-29	nmcglincy-Zymergen
2020-06-01	M3nin0
2020-06-01	AdrianoPereira
2020-06-04	mrtns
2020-06-04	nt-williams
2020-06-08	mjseignon
2020-06-09	Stalkcomrade
2020-06-09	kfrac
2020-06-13	alwinw
2020-06-16	bkutlu
2020-06-18	tbrittoborges
2020-06-20	abearab
2020-06-24	Ankita-1211
2020-06-28	danlooo
2020-06-29	ShuguangSun
2020-07-08	MrPops
2020-07-16	humanfactors
2020-07-19	schiavone1
2020-07-22	gwd999
2020-07-23	cengizbayrak
2020-07-27	remlapmot
2020-07-30	tom-fenn-4
2020-08-03	djd0723
2020-08-10	jonekeat
2020-08-10	kieran-mace
2020-08-14	mrajeev08
2020-08-19	dballaelliott
2020-08-25	Leo4Luffy
2020-08-26	jimbrig
2020-08-27	gueyenono
2020-08-27	faithman
2020-08-27	matthew-paul-2006
2020-08-27	mjiapalucci
2020-08-28	kitoki
2020-08-28	yingstat
2020-08-31	wydty
2020-09-02	Flavjack
2020-09-03	guicbrito
2020-09-04	iaradsouza1
2020-09-04	Adonisjgallardo
2020-09-04	mvuorre
2020-09-10	rsgodoy
