date	count	uniques
2020-12-16	38	29
2020-12-17	49	31
2020-12-18	60	35
2020-12-19	57	24
2020-12-20	72	29
2020-12-21	53	20
2020-12-22	104	48
2020-12-23	51	24
2020-12-24	33	14
2020-12-25	34	15
2020-12-26	21	11
2020-12-27	39	19
2020-12-28	7	7
2020-12-29	71	38
2020-12-30	64	23
2020-12-31	22	15
2021-01-01	14	11
2021-01-02	20	12
2021-01-03	20	16
2021-01-04	7	7
2021-01-05	50	29
2021-01-06	75	30
2021-01-07	104	36
2021-01-08	36	23
2021-01-09	18	10
2021-01-10	32	19
2021-01-11	16	12
2021-01-12	41	27
2021-01-13	76	37
2021-01-14	50	38
2021-01-15	36	30
2021-01-16	20	17
2021-01-17	40	21
2021-01-18	19	11
2021-01-19	35	26
2021-01-20	46	28
2021-01-21	71	28
2021-01-22	46	30
2021-01-23	15	12
2021-01-24	33	14
2021-01-25	40	31
2021-01-26	53	32
2021-01-27	88	44
2021-01-28	92	61
2021-01-29	44	29
2021-01-30	21	11
2021-01-31	33	18
2021-02-01	32	15
2021-02-02	60	32
2021-02-03	124	36
2021-02-04	55	32
2021-02-05	74	40
2021-02-06	30	24
2021-02-07	32	22
2021-02-08	29	14
2021-02-09	55	41
2021-02-10	63	41
2021-02-11	45	37
2021-02-12	46	42
2021-02-13	24	14
2021-02-14	39	18
2021-02-15	28	18
2021-02-16	49	38
2021-02-17	42	38
2021-02-18	61	44
2021-02-19	66	35
2021-02-20	19	16
2021-02-21	49	29
2021-02-22	41	20
2021-02-23	50	44
2021-02-24	78	51
2021-02-25	29	28
2021-02-26	57	47
2021-02-27	33	23
2021-02-28	49	16
2021-03-01	14	12
2021-03-02	105	36
2021-03-03	72	45
2021-03-04	67	42
2021-03-05	55	37
2021-03-06	26	21
2021-03-07	42	33
2021-03-08	14	11
2021-03-09	40	33
2021-03-10	41	31
2021-03-11	99	37
2021-03-12	68	52
2021-03-13	30	19
2021-03-14	26	15
2021-03-15	23	12
2021-03-16	29	27
2021-03-17	56	25
2021-03-18	52	44
2021-03-19	72	22
2021-03-20	34	21
2021-03-21	32	22
2021-03-22	62	37
2021-03-23	44	32
2021-03-24	51	18
2021-03-25	30	19
2021-03-26	33	28
2021-03-27	16	15
2021-03-28	30	19
2021-03-29	15	10
2021-04-12	18	13
2021-04-13	40	27
2021-04-14	53	37
2021-04-15	39	32
2021-04-16	41	33
2021-04-17	22	19
2021-04-18	90	61
2021-04-19	48	35
2021-04-20	50	39
2021-04-21	37	25
2021-04-22	38	27
2021-04-23	45	38
2021-04-24	29	14
2021-04-25	27	16
2021-04-26	29	23
2022-11-24	3	2
2022-11-25	30	22
2022-11-26	15	9
2022-11-27	9	9
2022-11-28	16	12
2022-11-29	29	23
2022-11-30	36	25
2022-12-01	49	29
2022-12-02	23	18
2022-12-03	31	19
2022-12-04	17	12
2022-12-05	36	18
2022-12-06	39	23
2022-12-07	33	26
2022-12-08	29	22
2022-12-09	23	17
2022-12-10	16	10
2022-12-11	16	9
2022-12-12	20	14
2022-12-13	93	31
2022-12-14	47	39
2022-12-15	41	29
2022-12-16	23	18
2022-12-17	23	20
2022-12-18	18	16
2022-12-19	19	15
2022-12-20	52	28
2022-12-21	22	18
2022-12-22	26	22
2022-12-23	11	9
2022-12-24	5	4
2022-12-25	2	2
2022-12-26	3	3
2022-12-27	23	13
2022-12-28	15	8
2022-12-29	21	12
2022-12-30	13	9
2022-12-31	5	5
2023-01-01	8	6
2023-01-02	7	5
2023-01-03	20	15
2023-01-04	22	17
2023-01-05	24	23
2023-01-06	38	20
2023-01-07	29	14
2023-01-08	31	14
2023-01-09	28	21
2023-01-10	43	34
2023-01-11	32	25
2023-01-12	32	21
2023-01-13	36	20
2023-01-14	19	13
2023-01-15	32	13
2023-01-16	38	14
2023-01-17	31	23
2023-01-18	23	18
2023-01-19	51	29
2023-01-20	27	19
2023-01-21	9	2
2023-01-22	12	9
2023-01-23	21	17
2023-01-24	39	30
2023-01-25	23	21
2023-01-26	26	21
2023-01-27	47	22
2023-01-28	25	8
2023-01-29	14	11
2023-01-30	36	33
2023-01-31	19	16
2023-02-01	29	26
2023-02-02	36	25
2023-02-03	33	29
2023-02-04	12	11
2023-02-05	16	13
2023-02-06	17	15
2023-02-07	24	23
2023-02-08	58	28
2023-02-09	42	28
2023-02-10	24	13
2023-02-11	13	8
2023-02-12	12	10
2023-02-13	33	19
2023-02-14	37	23
2023-02-15	36	27
2023-02-16	46	25
2023-02-17	42	28
2023-02-18	15	11
2023-02-19	8	7
2023-02-20	22	14
2023-02-21	34	24
2023-02-22	67	32
2023-02-23	22	16
2023-02-24	46	22
2023-02-25	15	9
2023-02-26	4	3
2023-02-27	32	23
2023-02-28	36	29
2023-03-01	80	54
2023-03-02	42	34
2023-03-03	47	31
2023-03-04	14	8
2023-03-05	25	11
2023-03-06	16	14
2023-03-07	33	20
2023-03-08	32	23
2023-03-09	42	28
2023-03-10	40	25
2023-03-11	7	6
2023-03-12	7	7
2023-03-13	34	23
2023-03-14	35	22
2023-03-15	21	17
2023-03-16	28	19
2023-03-17	20	19
2023-03-18	8	8
2023-03-19	21	15
2023-03-20	16	11
2023-03-21	28	26
2023-03-22	42	18
2023-03-23	24	20
2023-03-24	27	19
2023-03-25	10	7
2023-03-26	17	8
2023-03-27	11	7
2023-03-28	26	21
2023-03-29	37	23
2023-03-30	36	15
2023-03-31	30	23
2023-04-01	9	8
2023-04-02	21	11
2023-04-03	10	9
2023-04-04	19	16
2023-04-05	28	25
2023-04-06	37	21
2023-04-07	36	25
2023-04-08	2	2
2023-04-09	7	6
2023-04-10	20	14
2023-04-11	25	15
2023-04-12	29	19
2023-04-13	62	23
2023-04-14	31	19
2023-04-15	7	7
2023-04-16	5	5
2023-04-17	27	14
2023-04-18	27	21
2023-04-19	22	13
2023-04-20	33	19
2023-04-21	30	22
2023-04-22	25	11
2023-04-23	11	6
2023-04-24	24	17
2023-04-25	25	20
2023-04-26	25	19
2023-04-27	21	19
2023-04-28	25	14
2023-04-29	11	8
2023-04-30	7	7
2023-05-01	11	6
2023-05-02	22	17
2023-05-03	18	17
2023-05-04	30	23
2023-05-05	22	17
2023-05-06	11	9
2023-05-07	12	11
2023-05-08	10	8
2023-05-09	36	26
2023-05-10	36	27
2023-05-11	30	20
2023-05-12	28	21
2023-05-13	3	3
2023-05-14	2	2
2023-05-15	17	14
2023-05-16	31	21
2023-05-17	12	9
2023-05-18	23	15
2023-05-19	44	20
2023-05-20	5	5
2023-05-21	28	9
